SessionID,User,StartTime,EndTime,Reason
TQyHg9ef2Z21GmBb,elizabeth23@bootcamp.com,2021-04-13 05:01:50,2021-04-13 05:41:42,LOGOUT
xGOfZnNu3xEDBFbh,bjordan@bootcamp.com,2021-04-13 05:04:34,2021-04-13 07:07:12,TIMEOUT
vFhveCrhhxyKrY4M,andersonrachel@bootcamp.com,2021-04-13 05:13:50,2021-04-13 08:58:14,TIMEOUT
Zdbz2ue56ArBeNIW,castillopamela@bootcamp.com,2021-04-13 05:15:10,2021-04-13 05:54:27,LOGOUT
GjpqMyaKJkGSTbZE,montoyajoshua@bootcamp.com,2021-04-13 05:15:53,2021-04-13 07:08:30,TIMEOUT
e1mTO3ueVXTKLTYt,gary20@bootcamp.com,2021-04-13 05:16:47,2021-04-13 05:19:17,TIMEOUT
7wpMjjDjZLjvstU9,cheryl89@bootcamp.com,2021-04-13 05:20:08,2021-04-13 05:27:39,LOGOUT
rhpoqu6lojMSuNW8,johnsondaniel@bootcamp.com,2021-04-13 05:29:56,2021-04-13 07:06:16,LOGOUT
dnsBPLTG8o25rDQB,johnjackson@bootcamp.com,2021-04-13 05:33:18,2021-04-13 06:51:31,LOGOUT
3rcYzjeo3CMRj8f7,donaldsonstacy@bootcamp.com,2021-04-13 05:34:53,2021-04-13 06:17:25,TIMEOUT
WyvVX9bOQ1lcHLVE,jonathansmith@bootcamp.com,2021-04-13 05:36:51,2021-04-13 06:20:27,LOGOUT
ijlrkGojqrCxM7OS,peterharper@bootcamp.com,2021-04-13 05:37:16,2021-04-13 11:40:10,TIMEOUT
KqWazPUQvnsCPmcS,jorge78@bootcamp.com,2021-04-13 05:37:24,2021-04-13 06:47:40,LOGOUT
5gGxA3wNY6b3dpwU,melissagill@bootcamp.com,2021-04-13 05:41:52,2021-04-13 06:04:23,TIMEOUT
QsfMA8VPZUK39mr3,perrykelsey@bootcamp.com,2021-04-13 05:47:00,2021-04-13 06:19:32,TIMEOUT
2362w6i9H6nXCPYO,jessica44@bootcamp.com,2021-04-13 05:56:32,2021-04-13 06:39:04,TIMEOUT
JPFfKIKLEWeGz54h,ericcolon@bootcamp.com,2021-04-13 05:59:48,2021-04-13 06:30:56,LOGOUT
D1WcvBv33mL4Wjyx,david90@bootcamp.com,2021-04-13 06:02:25,2021-04-13 07:30:00,TIMEOUT
rZGtHAo6N7J1hM9h,david90@bootcamp.com,2021-04-13 06:03:48,2021-04-13 09:56:33,TIMEOUT
6Sz4BkNy9LYBCBsK,danielsjohn@bootcamp.com,2021-04-13 06:08:17,2021-04-13 12:19:11,TIMEOUT
tc8cNQQEnLgK0FRp,edwardgomez@bootcamp.com,2021-04-13 06:08:19,2021-04-13 06:10:49,TIMEOUT
0792uL4CtvTAnFVA,clairecordova@bootcamp.com,2021-04-13 06:09:53,2021-04-13 08:02:30,TIMEOUT
t7MNvjRZDBqMfRlH,bjordan@bootcamp.com,2021-04-13 06:12:43,2021-04-13 06:57:35,LOGOUT
jVqZCZUF3vB5Tu7j,russell55@bootcamp.com,2021-04-13 06:14:31,2021-04-13 08:27:09,TIMEOUT
d3jPqaTyOWPVLoRA,gonzalezjerry@bootcamp.com,2021-04-13 06:15:40,2021-04-13 06:48:12,TIMEOUT
6he5CZNYRk1eW6IF,justin05@bootcamp.com,2021-04-13 06:15:51,2021-04-13 06:23:21,TIMEOUT
6Uu8p1wlHtUGpppv,daniel98@bootcamp.com,2021-04-13 06:18:45,2021-04-13 08:06:22,TIMEOUT
nGyrsMcBqCr455Ya,ryangomez@bootcamp.com,2021-04-13 06:21:32,2021-04-13 07:39:07,TIMEOUT
4pd1imvOPBvWpjwx,johnsondaniel@bootcamp.com,2021-04-13 06:24:27,2021-04-13 06:46:58,TIMEOUT
TyjECPmQNTCRPtI8,villanuevadavid@bootcamp.com,2021-04-13 06:27:42,2021-04-13 06:30:12,TIMEOUT
Nx6NV4rjp5itZ7VW,cookeeric@bootcamp.com,2021-04-13 06:29:01,2021-04-13 06:31:31,TIMEOUT
VrKLDTtoKj3zbJNR,christinagray@bootcamp.com,2021-04-13 06:34:13,2021-04-13 06:56:44,TIMEOUT
Vc9dXj7QT0fpphnY,matthew04@bootcamp.com,2021-04-13 06:34:18,2021-04-13 07:11:50,TIMEOUT
tBJ6KRjgx3EQeyHb,bjordan@bootcamp.com,2021-04-13 06:34:50,2021-04-13 09:57:44,TIMEOUT
vS9SvVUa2pGUuYkf,montoyajoshua@bootcamp.com,2021-04-13 06:35:13,2021-04-13 06:42:43,TIMEOUT
DUGeJPfLmMqMB3QV,andersonrachel@bootcamp.com,2021-04-13 06:36:21,2021-04-13 10:00:29,LOGOUT
kOGLFq0c33b8g1ui,pamelaschultz@bootcamp.com,2021-04-13 06:36:26,2021-04-13 07:31:19,LOGOUT
smz84R9EqqmllRbx,castillopamela@bootcamp.com,2021-04-13 06:38:10,2021-04-13 08:15:46,TIMEOUT
BbGsnJZE83AcTQlw,ritalynch@bootcamp.com,2021-04-13 06:41:00,2021-04-13 07:23:32,TIMEOUT
p1xzbYqPIfQJNqZB,martinezmaria@bootcamp.com,2021-04-13 06:45:01,2021-04-13 07:42:34,TIMEOUT
OVMDFc9LWMIi1dp2,yrodriguez@bootcamp.com,2021-04-13 06:45:52,2021-04-13 08:41:40,LOGOUT
83gWYWn5sMf1qOwN,jmaxwell@bootcamp.com,2021-04-13 06:46:08,2021-04-13 07:06:44,LOGOUT
8BfAvG6rStn08Ul2,daniel32@bootcamp.com,2021-04-13 06:49:07,2021-04-13 07:41:40,TIMEOUT
dxcXH8ESLXbBF0qd,morgan54@bootcamp.com,2021-04-13 06:50:07,2021-04-13 08:37:44,TIMEOUT
liiMOLQqX6yqH7Yt,christopherthomas@bootcamp.com,2021-04-13 06:55:16,2021-04-13 07:22:47,TIMEOUT
Q54hn6tubtJuKqxq,shawngibson@bootcamp.com,2021-04-13 06:55:55,2021-04-13 08:44:52,LOGOUT
a1K0GmVuObooesaE,brandon33@bootcamp.com,2021-04-13 06:56:44,2021-04-13 07:09:14,TIMEOUT
vdTGcLAQCvrDZAOh,richmondbrittany@bootcamp.com,2021-04-13 06:59:18,2021-04-13 07:12:16,LOGOUT
CukSCqL59wkKm0Tw,noahwerner@bootcamp.com,2021-04-13 07:01:34,2021-04-13 07:39:06,TIMEOUT
F2yclXxwfDf80uEE,william61@bootcamp.com,2021-04-13 07:01:35,2021-04-13 12:44:34,LOGOUT
hhJ8kRbjXa9gnZZy,pamelaschultz@bootcamp.com,2021-04-13 07:02:06,2021-04-13 07:09:42,LOGOUT
C7vxbuDnV5ASFeuC,bmarshall@bootcamp.com,2021-04-13 07:02:10,2021-04-13 07:59:43,TIMEOUT
B44hRnbD6cwIHEbN,phyllis23@bootcamp.com,2021-04-13 07:02:58,2021-04-13 07:52:09,LOGOUT
3KyZbyz3OxZta8JL,stephenhowe@bootcamp.com,2021-04-13 07:03:07,2021-04-13 08:37:04,TIMEOUT
6636ZQmAlCxkWjY4,steven66@bootcamp.com,2021-04-13 07:03:18,2021-04-13 07:13:16,LOGOUT
6zM0B2M1rglPoVVC,thomaskelly@bootcamp.com,2021-04-13 07:04:06,2021-04-13 09:01:43,TIMEOUT
oFH8LubycK2g4MXg,william61@bootcamp.com,2021-04-13 07:05:34,2021-04-13 07:36:50,LOGOUT
KaG9X7NRVoVo49Bj,cpatterson@bootcamp.com,2021-04-13 07:05:57,2021-04-13 07:43:29,TIMEOUT
OiaVboi4URPQtixG,brandon33@bootcamp.com,2021-04-13 07:06:04,2021-04-13 07:48:36,TIMEOUT
SsyNspZA6SwZD9nE,andersonrachel@bootcamp.com,2021-04-13 07:09:11,2021-04-13 07:31:42,TIMEOUT
MoX47SQpAvbAyFzr,karenvalencia@bootcamp.com,2021-04-13 07:09:33,2021-04-13 07:28:31,LOGOUT
iZf6FXjyMd8oeSl7,cookeeric@bootcamp.com,2021-04-13 07:10:02,2021-04-13 07:42:34,TIMEOUT
VsdYsiWN5Wt0StcE,clairecordova@bootcamp.com,2021-04-13 07:10:29,2021-04-13 07:28:00,TIMEOUT
YiaKpyrxdS9qpRIg,brian18@bootcamp.com,2021-04-13 07:11:43,2021-04-13 07:19:13,TIMEOUT
1KAmRUb9xsGilvv7,dmiller@bootcamp.com,2021-04-13 07:11:57,2021-04-13 08:24:31,TIMEOUT
KKhdGgUQBYB1pV5Q,thomaskelly@bootcamp.com,2021-04-13 07:12:21,2021-04-13 10:20:03,TIMEOUT
QcOIw0DkN8G8vps0,perkinsluis@bootcamp.com,2021-04-13 07:12:45,2021-04-13 07:33:55,LOGOUT
IGFfX5ZEaACMSHZP,wgaines@bootcamp.com,2021-04-13 07:13:49,2021-04-13 07:36:20,TIMEOUT
